pr_number,merged_at,author,title
32675,2025-03-19T19:42:05Z,poteto,[ci] Add cache cleanup workflow
32674,2025-03-19T19:41:48Z,poteto,[ci] Bump build_and_lint to 25 workers
32214,2025-03-18T19:05:56Z,gaearon,"Revert ""Fix:- Improve HOC support and state preservation in React Refresh"""
32660,2025-03-18T17:54:26Z,jackpope,Add getClientRects to fragment instances
32646,2025-03-17T16:14:19Z,rickhanlonii,[devtools] add filters for internal builds
32619,2025-03-17T15:40:06Z,jackpope,Add observer methods to fragment instances
32605,2025-03-14T17:16:30Z,sebmarkbage,Gate flushGestureMutations and flushGestureAnimations
32585,2025-03-14T17:16:20Z,sebmarkbage,Merge restoreEnterViewTransitions and restoreExitViewTransitions
32597,2025-03-13T23:08:39Z,mofeiZ,[compiler][ez] Stop bailing out early for hoisted gated functions
32602,2025-03-13T21:46:46Z,poteto,[ci] mkdir before mv
32592,2025-03-12T23:12:45Z,poteto,[rollup] Add support for running prebuild commands
32591,2025-03-12T23:12:34Z,poteto,[rollup] Fix codeFrame is not a function
32520,2025-03-12T19:08:55Z,mofeiZ,[compiler] Repro for object spread and Array.from with mutable iterators
32579,2025-03-12T18:20:36Z,sebmarkbage,Ignore AbortError for gestures
32550,2025-03-07T21:41:55Z,poteto,[compiler] Migrate compiler packages to tsup
32528,2025-03-07T17:03:59Z,sammy-SC,Fix asserts caused by OffscreenComponent rendering in React Native with passChildrenWhenCloningPersistedNodes
32500,2025-03-05T01:10:08Z,sebmarkbage,During a Swipe Gesture Render a Clone Offscreen and Animate it Onscreen
32426,2025-03-04T17:34:34Z,rickhanlonii,[flags] remove enableOwnerStacks
32457,2025-02-28T16:22:08Z,poteto,feat(eslint-plugin-react-hooks): make flat config the `recommended` config
32411,2025-02-28T16:12:10Z,poteto,refactor(eslint-plugin-react-hooks): move rules to `rules` folder
32487,2025-02-27T18:07:52Z,poteto,[ci] Add workflow to publish releases
32486,2025-02-27T16:24:31Z,poteto,[release] Update publishing scripts to make publishing allowlisted packages easier
32477,2025-02-26T00:09:21Z,poteto,[forgive][ez] Ignore test file
32476,2025-02-25T23:55:49Z,poteto,[forgive] Add basic codelens provider
32462,2025-02-25T17:45:44Z,sebmarkbage,Move ViewTransitions helpers to ReactFiberCommitViewTransitions
32001,2025-02-25T17:45:19Z,sebmarkbage,Use valid CSS selectors in useId format
32446,2025-02-24T13:46:06Z,rubennorte,[RN] Move definition of public instances to ReactNativePrivateInterface
25231,2025-02-24T12:01:59Z,eps1lon,use-sync-external-store: Add `exports` field to `package.json`
32445,2025-02-21T17:48:32Z,gnoff,[Fizz] Responsive images should not be preloaded with link headers
32422,2025-02-21T16:27:05Z,sebmarkbage,Add Example of a SwipeRecognizer
32412,2025-02-21T16:03:05Z,sebmarkbage,Allow passing range option to useSwipeTransition
32379,2025-02-20T23:13:09Z,sebmarkbage,Rerender useSwipeTransition when direction changes
32420,2025-02-18T21:56:03Z,poteto,[eslint] Target ES5
31812,2025-02-18T19:25:34Z,mofeiZ,[compiler][be] Clean up bug test fixtures; evaluate more fixtures
32287,2025-02-18T18:54:20Z,mofeiZ,[compiler] Represent array accesses with PropertyLoad
32104,2025-02-18T16:38:03Z,mofeiZ,[compiler] Clean up deadcode: DeriveMinimalDeps (non-hir fork)
32098,2025-02-18T16:37:35Z,mofeiZ,[compiler] Clean up deadcode: ReactiveFunctionValue
32097,2025-02-18T16:37:21Z,mofeiZ,[compiler] Remove redundant InferMutableContextVariables
32397,2025-02-16T22:00:43Z,poteto,ci: add workflow for running the eslint plugin e2e tests
32398,2025-02-16T21:14:43Z,poteto,chore: remove `devEngines` declaration in root package
32240,2025-02-16T19:10:54Z,poteto,feat(eslint-plugin-react-hooks): convert to typescript and package type declarations
32396,2025-02-16T18:23:44Z,poteto,test(eslint): create eslint test fixtures
32393,2025-02-16T15:38:13Z,poteto,build: add support to the rollup build for building typescript packages
32382,2025-02-14T14:10:37Z,hoxyq,Change TouchedViewDataAtPoint type in ReactNativeTypes to use supported by Flow tooling syntax
